vertical,advertiser_country,cost_per_goal,advertising_platform_id,start_year
Home Improvement & Maintenance,BE,0.97,adwords,2021
Interior Design & Furniture,BE,0.46,adwords,2023
Animals & Pets,BE,0.35,adwords,2023
Home Improvement & Maintenance,BE,0.96,bing,2022
Transport & Logistics,BE,0.7,bing,2021
Home Improvement & Maintenance,BE,1.38,adwords,2023
Security,BE,0.62,adwords,2022
Food & Drinks,BE,0.56,bing,2022
Interior Design & Furniture,BE,0.46,facebook,2023
Electronics,BE,0.43,bing,2023
Real Estate,BE,0.53,bing,2021
Animals & Pets,BE,1.07,adwords,2021
Home Improvement & Maintenance,BE,0.75,bing,2021
Home Improvement & Maintenance,BE,0.07,facebook,2023
Home Improvement & Maintenance,BE,0.45,bing,2023
Cars & Motorbikes,BE,0.69,adwords,2021
Environment,BE,0.97,bing,2023
Fashion & Clothing,BE,0.79,bing,2021
Transport & Logistics,BE,0.61,bing,2022
Home Improvement & Maintenance,BE,0.22,bing,2021
Home Improvement & Maintenance,BE,2.17,adwords,2023
Beauty,BE,0.53,bing,2022
Real Estate,BE,0.74,bing,2021
Health,BE,0.52,bing,2023
Beauty,BE,0.53,facebook,2022
Home Improvement & Maintenance,BE,0.65,facebook,2022
Accommodation & Hotels,BE,0.62,bing,2023
Funeral Services,BE,0.73,adwords,2021
Health,BE,0.3,adwords,2023
Home Improvement & Maintenance,BE,0.68,adwords,2022
Home Improvement & Maintenance,BE,0.71,bing,2021
Home Improvement & Maintenance,BE,0.86,bing,2023
Home Improvement & Maintenance,BE,2.14,adwords,2023
Funeral Services,BE,0.46,adwords,2022
Restaurant,BE,0.73,bing,2021
Home Improvement & Maintenance,BE,0.74,adwords,2023
Security,BE,0.39,adwords,2021
Animals & Pets,BE,0.26,bing,2022
Home Improvement & Maintenance,BE,0.67,adwords,2021
Cars & Motorbikes,BE,0.9,bing,2023
Business,BE,1.98,bing,2022
Fashion & Clothing,BE,0.2,adwords,2021
Home Improvement & Maintenance,BE,0.59,adwords,2022
Home Improvement & Maintenance,BE,0.72,facebook,2021
Home Improvement & Maintenance,BE,0.4,bing,2023
Home Improvement & Maintenance,BE,0.72,bing,2022
Legal & Law,BE,1.65,bing,2022
Home Improvement & Maintenance,BE,1.81,adwords,2022
Home Improvement & Maintenance,BE,0.6,bing,2021
Home Improvement & Maintenance,BE,1.08,bing,2021
Home Improvement & Maintenance,BE,0.4,bing,2022
Accommodation & Hotels,BE,0.63,bing,2021
Health,BE,0.64,bing,2023
Beauty,BE,0.33,bing,2022
Electronics,BE,0.75,bing,2022
Food & Drinks,BE,0.29,adwords,2023
Home Improvement & Maintenance,BE,0.43,bing,2022
Electronics,BE,0.71,bing,2022
Home Improvement & Maintenance,BE,0.12,bing,2023
Cars & Motorbikes,BE,0.62,bing,2022
Health,BE,0.3,bing,2023
Animals & Pets,BE,0.6,bing,2023
Home Improvement & Maintenance,BE,2.54,adwords,2023
Cars & Motorbikes,BE,0.37,adwords,2023
Home Improvement & Maintenance,BE,0.86,bing,2021
Cars & Motorbikes,BE,0.71,adwords,2023
Transport & Logistics,BE,0.53,bing,2022
Real Estate,BE,0.11,adwords,2023
Home Improvement & Maintenance,BE,0.59,bing,2021
Home Improvement & Maintenance,BE,0.64,adwords,2021
Health,BE,0.34,bing,2023
Cars & Motorbikes,BE,0.9,adwords,2022
Home Improvement & Maintenance,BE,0.18,adwords,2022
Home Improvement & Maintenance,BE,0.54,bing,2022
Home Improvement & Maintenance,BE,1.24,adwords,2022
Beauty,BE,0.31,bing,2023
Interior Design & Furniture,BE,0.45,adwords,2023
Animals & Pets,BE,0.35,adwords,2022
Home Improvement & Maintenance,BE,0.38,bing,2023
Home Improvement & Maintenance,BE,1.98,bing,2023
Agriculture,BE,2.27,adwords,2021
Animals & Pets,BE,1.3,adwords,2023
Home Improvement & Maintenance,BE,0.76,bing,2023
Industrial,BE,0.74,bing,2022
Business,BE,0.5,adwords,2022
Environment,BE,0.03,bing,2022
Electronics,BE,0.67,facebook,2021
Home Improvement & Maintenance,BE,0.35,bing,2021
Restaurant,BE,0.18,facebook,2023
Beauty,BE,0.8,bing,2022
Interior Design & Furniture,BE,0.66,bing,2022
Flowers & Plants,BE,0.57,bing,2023
Home Improvement & Maintenance,BE,0.68,bing,2022
Home Improvement & Maintenance,BE,0.78,bing,2021
Cars & Motorbikes,BE,0.33,bing,2023
Restaurant,BE,0.43,bing,2021
Flowers & Plants,BE,0.38,bing,2023
Home Improvement & Maintenance,BE,0.69,adwords,2022
Interior Design & Furniture,BE,0.85,bing,2021
Cars & Motorbikes,BE,0.41,adwords,2021
Home Improvement & Maintenance,BE,1.08,adwords,2023
Restaurant,BE,0.62,bing,2022
