campaign_id,vertical,partner_name,internal_state_id,ads_aggregate_state,goal_id,state_id,advertiser_country,max_goals,cost_per_goal,input_amount,advertising_platform_id
226,Home Improvement & Maintenance,Partner B,enabled,null,clicks,enabled,ES,223,0.28653,63.89619,#N/A
227,Food & Drinks,Partner B,enabled,null,clicks,enabled,ES,223,0.28679,63.95417,#N/A
228,School,Partner B,enabled,null,clicks,enabled,ES,223,0.2864,63.8672,#N/A
229,Pharmacy,Partner B,enabled,null,clicks,paused,ES,222,0.16,35.52,#N/A
230,Fashion & Clothing,Partner B,enabled,null,clicks,paused,ES,221,0.09,19.89,#N/A
231,Health,Partner B,enabled,null,clicks,enabled,ES,221,0.28884,63.83364,#N/A
232,Industrial,Partner B,enabled,null,clicks,paused,ES,221,0.2,44.2,#N/A
233,Industrial,Partner B,enabled,null,clicks,paused,ES,219,0.15,32.85,#N/A
234,Home Improvement & Maintenance,Partner B,enabled,null,clicks,enabled,ES,219,0.29217,63.98523,#N/A
235,Health,Partner B,enabled,null,clicks,enabled,ES,219,0.29131,63.79689,#N/A
236,Home Improvement & Maintenance,Partner B,enabled,null,clicks,paused,ES,219,0.19,41.61,#N/A
237,Home Improvement & Maintenance,Partner B,enabled,null,clicks,enabled,ES,218,0.29284,63.83912,#N/A
238,Transport & Logistics,Partner B,enabled,null,clicks,enabled,ES,218,0.2931,63.8958,#N/A
239,Business,Partner B,enabled,null,clicks,paused,ES,217,0.16,34.72,#N/A
240,Home Improvement & Maintenance,Partner B,enabled,null,clicks,enabled,ES,217,0.44057,95.60369,#N/A
241,Hair care,Partner B,enabled,null,clicks,enabled,ES,216,0.29601,63.93816,#N/A
242,Funeral Services,Partner B,enabled,null,clicks,enabled,ES,215,0.29645,63.73675,#N/A
243,Health,Partner B,enabled,null,clicks,enabled,ES,215,0.29759,63.98185,#N/A
244,Home Improvement & Maintenance,Partner B,enabled,null,clicks,enabled,ES,215,0.29747,63.95605,#N/A
245,Legal & Law,Partner B,enabled,null,clicks,enabled,ES,214,0.39,162.5477,#N/A
246,Home Improvement & Maintenance,Partner B,enabled,null,clicks,paused,ES,213,0.23,48.99,#N/A
247,Animals & Pets,Partner B,enabled,null,clicks,enabled,ES,210,0.3043,63.903,#N/A
248,Electronics,Partner B,enabled,null,clicks,enabled,ES,209,0.30518,63.78262,#N/A
249,Fashion & Clothing,Partner B,enabled,null,clicks,paused,ES,209,0.15,31.35,#N/A
250,Industrial,Partner B,enabled,null,clicks,paused,ES,209,0.15,31.35,#N/A
251,Home Improvement & Maintenance,Partner B,enabled,null,clicks,paused,ES,208,0.33,68.64,#N/A
252,Home Improvement & Maintenance,Partner B,enabled,null,clicks,enabled,ES,207,0.30896,63.95472,#N/A
253,Marketing services,Partner B,enabled,null,clicks,enabled,ES,207,0.46336,95.91552,#N/A
254,Home Improvement & Maintenance,Partner B,enabled,null,clicks,enabled,ES,207,0.30836,63.83052,#N/A
255,Home Improvement & Maintenance,Partner B,enabled,null,clicks,paused,ES,206,0.13,26.78,#N/A
256,Health,Partner B,enabled,null,clicks,paused,ES,205,0.26,53.3,#N/A
257,Electronics,Partner B,enabled,null,clicks,enabled,ES,204,0.62743,127.99572,#N/A
258,Industrial,Partner B,enabled,null,clicks,enabled,ES,204,0.31247,63.74388,#N/A
259,Fashion & Clothing,Partner B,enabled,null,clicks,paused,ES,204,0.12,24.48,#N/A
260,Health,Partner B,enabled,null,clicks,enabled,ES,202,0.31686,64.00572,#N/A
261,Funeral Services,Partner B,enabled,null,clicks,enabled,ES,202,0.31557,63.74514,#N/A
262,Health,Partner B,enabled,null,clicks,enabled,ES,202,0.31551,63.73302,#N/A
263,Home Improvement & Maintenance,Partner B,enabled,null,clicks,enabled,ES,201,0.31816,63.95016,#N/A
264,Transport & Logistics,Partner B,enabled,null,clicks,enabled,ES,200,0.47862,95.724,#N/A
265,Fashion & Clothing,Partner B,enabled,null,clicks,paused,ES,199,0.1,19.9,#N/A
266,Health,Partner B,enabled,null,clicks,enabled,ES,198,0.32193,63.74214,#N/A
267,Transport & Logistics,Partner B,enabled,null,clicks,paused,ES,198,0.15,29.7,#N/A
268,Health,Partner B,enabled,null,clicks,enabled,ES,198,0.32263,63.88074,#N/A
269,Home Improvement & Maintenance,Partner B,enabled,null,clicks,paused,ES,198,0.24,47.52,#N/A
270,Home Improvement & Maintenance,Partner B,enabled,null,clicks,paused,ES,198,0.2,39.6,#N/A
271,Home Improvement & Maintenance,Partner B,enabled,null,clicks,paused,ES,197,0.18,35.46,#N/A
272,Beauty,Partner B,enabled,null,clicks,enabled,ES,196,0.32572,63.84112,#N/A
273,Baby & Toddlers,Partner B,enabled,null,clicks,paused,ES,196,0.18,35.28,#N/A
274,Home Improvement & Maintenance,Partner B,enabled,null,clicks,paused,ES,194,0.18,34.92,#N/A
275,Industrial,Partner B,enabled,null,clicks,enabled,ES,194,0.32948,63.91912,#N/A
276,Health,Partner B,enabled,null,clicks,enabled,ES,194,0.32896,63.81824,#N/A
277,Health,Partner B,enabled,null,clicks,enabled,ES,193,0.33125,63.93125,#N/A
278,Home Improvement & Maintenance,Partner B,enabled,null,clicks,enabled,ES,193,0.33147,63.97371,#N/A
279,Legal & Law,Partner B,enabled,null,clicks,enabled,ES,192,0.33235,63.8112,#N/A
280,Health,Partner B,enabled,null,clicks,paused,ES,192,0.23,44.16,#N/A
281,Home Improvement & Maintenance,Partner B,enabled,null,clicks,enabled,ES,191,0.33416,63.82456,#N/A
282,Industrial,Partner B,enabled,null,clicks,enabled,ES,190,0.33644,63.9236,#N/A
283,Health,Partner B,enabled,null,clicks,paused,ES,189,0.2,37.8,#N/A
284,Health,Partner B,enabled,null,clicks,paused,ES,189,0.16,30.24,#N/A
285,Industrial,Partner B,enabled,null,clicks,paused,ES,188,0.28,52.64,#N/A
286,Environment,Partner B,enabled,null,clicks,enabled,ES,187,0.34148,63.85676,#N/A
287,Health,Partner B,enabled,null,clicks,enabled,ES,186,0.34354,63.89844,#N/A
288,Transport & Logistics,Partner B,enabled,null,clicks,paused,ES,186,0.68548,127.49928,#N/A
289,Health,Partner B,enabled,null,clicks,enabled,ES,186,0.3436,63.9096,#N/A
290,Cars & Motorbikes,Partner B,enabled,null,clicks,enabled,ES,185,0.3459,63.9915,#N/A
291,Home Improvement & Maintenance,Partner B,enabled,null,clicks,enabled,ES,185,0.51869,95.95765,#N/A
292,Environment,Partner B,enabled,null,clicks,enabled,ES,185,0.34441,63.71585,#N/A
293,Home Improvement & Maintenance,Partner B,enabled,null,clicks,enabled,ES,184,0.34653,63.76152,#N/A
294,Health,Partner B,enabled,null,clicks,enabled,ES,184,0.34769,63.97496,#N/A
295,Funeral Services,Partner B,enabled,null,clicks,enabled,ES,184,0.3473,63.9032,#N/A
296,Transport & Logistics,Partner B,enabled,null,clicks,enabled,ES,183,0.3485,63.7755,#N/A
297,Transport & Logistics,Partner B,enabled,null,clicks,enabled,ES,182,0.35023,63.74186,#N/A
298,Fitness,Partner B,enabled,null,clicks,enabled,ES,181,0.35343,63.97083,#N/A
299,Home Improvement & Maintenance,Partner B,enabled,null,clicks,enabled,ES,181,0.70711,127.98691,#N/A
300,Industrial,Partner B,enabled,null,clicks,enabled,ES,180,0.35409,63.7362,#N/A
301,Business,Partner B,enabled,null,clicks,enabled,ES,180,0.35429,63.7722,#N/A
302,Fashion & Clothing,Partner B,enabled,null,clicks,enabled,ES,180,0.3539,63.702,#N/A
303,Health,Partner B,enabled,null,clicks,enabled,ES,179,0.35637,63.79023,#N/A
304,Home Improvement & Maintenance,Partner B,enabled,null,clicks,enabled,ES,179,0.71566,128.10314,#N/A
305,Health,Partner B,enabled,null,clicks,paused,ES,178,0.29,51.62,#N/A
306,Electronics,Partner B,enabled,null,clicks,enabled,ES,178,0.35919,63.93582,#N/A
307,Health,Partner B,enabled,null,clicks,enabled,ES,178,0.35877,63.86106,#N/A
308,Funeral Services,Partner B,enabled,null,clicks,paused,ES,177,0.2,35.4,#N/A
309,Security,Partner B,enabled,null,clicks,enabled,ES,177,0.36078,63.85806,#N/A
310,Home Improvement & Maintenance,Partner B,enabled,null,clicks,paused,ES,176,0.14,24.64,#N/A
311,Home Improvement & Maintenance,Partner B,enabled,null,clicks,enabled,ES,176,0.9086,159.9136,#N/A
312,Transport & Logistics,Partner B,enabled,null,clicks,enabled,ES,176,0.36292,63.87392,#N/A
313,Home Improvement & Maintenance,Partner B,enabled,null,clicks,enabled,ES,176,0.36334,63.94784,#N/A
314,Funeral Services,Partner B,enabled,null,clicks,paused,ES,176,0.22,38.72,#N/A
315,Funeral Services,Partner B,enabled,null,clicks,enabled,ES,175,0.36501,63.87675,#N/A
316,Home Improvement & Maintenance,Partner B,enabled,null,clicks,paused,ES,175,0.32,56,#N/A
317,Home Improvement & Maintenance,Partner B,enabled,null,clicks,enabled,ES,173,0.36957,63.93561,#N/A
318,Industrial,Partner B,enabled,null,clicks,enabled,ES,173,0.55494,96.00462,#N/A
319,Home Improvement & Maintenance,Partner B,enabled,null,clicks,paused,ES,172,0.11,18.92,#N/A
320,Business,Partner B,enabled,null,clicks,paused,ES,172,0.28,48.16,#N/A
321,Cars & Motorbikes,Partner B,enabled,null,clicks,enabled,ES,172,0.37049,63.72428,#N/A
322,Health,Partner B,enabled,null,clicks,enabled,ES,171,0.37387,63.93177,#N/A
323,Home Improvement & Maintenance,Partner B,enabled,null,clicks,enabled,ES,171,0.37273,63.73683,#N/A
324,Legal & Law,Partner B,enabled,null,clicks,canceled,ES,170,0.37677,64.0509,#N/A
325,Wedding,Partner B,enabled,null,clicks,enabled,ES,170,0.75347,128.0899,#N/A
326,Health,Partner B,enabled,null,clicks,paused,ES,170,0.21,35.7,#N/A
327,Business,Partner B,enabled,null,clicks,enabled,ES,169,0.37735,63.77215,#N/A
328,Health,Partner B,enabled,null,clicks,paused,ES,169,0.28,47.32,#N/A
329,Home Improvement & Maintenance,Partner B,enabled,null,clicks,enabled,ES,169,0.37899,64.04931,#N/A
330,Health,Partner B,enabled,null,clicks,paused,ES,169,0.16,27.04,#N/A
331,Legal & Law,Partner B,enabled,null,clicks,enabled,ES,168,0.38061,63.94248,#N/A
332,Flowers & Plants,Partner B,enabled,null,clicks,enabled,ES,168,0.38137,64.07016,#N/A
333,Home Improvement & Maintenance,Partner B,enabled,null,clicks,paused,ES,168,0.13,21.84,#N/A
334,Pharmacy,Partner B,enabled,null,clicks,enabled,ES,168,0.75878,127.47504,#N/A
335,Industrial,Partner B,enabled,null,clicks,paused,ES,168,0.13,21.84,#N/A
336,Business,Partner B,enabled,null,clicks,enabled,ES,168,0.74,124.32,#N/A
337,Home Improvement & Maintenance,Partner B,enabled,null,clicks,paused,ES,167,0.14,23.38,#N/A
338,Security,Partner B,enabled,null,clicks,enabled,ES,167,0.38329,64.00943,#N/A
339,Transport & Logistics,Partner B,enabled,null,clicks,enabled,ES,167,0.38248,63.87416,#N/A
340,Health,Partner B,enabled,null,clicks,enabled,ES,166,0.57817,95.97622,#N/A
